payment_id,trip_id,passenger_id,amount,payment_method,payment_timestamp
PAY10374,T5161,P1040,15.0,ContactlessCredit,2026-08-20 12:45:00
PAY10375,T5024,P1091,10.0,SmartCard,2026-08-20 17:11:00
PAY10376,T5123,P1010,15.0,MobileApp,2026-08-20 09:38:00
PAY10377,T5175,P1057,10.0,SmartCard,2026-08-20 14:51:00
PAY10378,T5088,P1016,30.0,MobileApp,2026-08-20 17:52:00
PAY10379,T5019,P1030,30.0,SmartCard,2026-08-20 14:09:00
PAY10380,T5027,P1041,25.0,Cash,2026-08-20 07:44:00
PAY10381,T5098,P1100,15.0,MobileApp,2026-08-20 08:20:00
PAY10382,T5136,P1073,10.0,MobileApp,2026-08-20 07:10:00
PAY10383,T5090,P1093,15.0,MobileApp,2026-08-20 13:30:00
PAY10384,T5158,P1088,30.0,MobileApp,2026-08-20 13:01:00
PAY10385,T5026,P1018,10.0,ContactlessCredit,2026-08-20 07:28:00
PAY10386,T5110,P1041,15.0,MobileApp,2026-08-20 11:59:00
PAY10387,T5166,P1011,15.0,Cash,2026-08-20 10:43:00
PAY10388,T5007,P1085,25.0,MobileApp,2026-08-20 17:47:00
PAY10389,T5156,P1066,15.0,ContactlessCredit,2026-08-20 14:50:00
PAY10390,T5166,P1007,15.0,ContactlessCredit,2026-08-20 11:02:00
PAY10391,T5029,P1031,30.0,SmartCard,2026-08-20 12:35:00
PAY10392,T5004,P1047,25.0,MobileApp,2026-08-20 15:00:00
PAY10393,T5146,P1054,25.0,MobileApp,2026-08-20 12:36:00
PAY10394,T5198,P1010,10.0,SmartCard,2026-08-20 14:02:00
PAY10395,T5068,P1028,10.0,SmartCard,2026-08-20 06:14:00
PAY10396,T5130,P1037,50.0,ContactlessCredit,2026-08-20 12:47:00
PAY10397,T5180,P1052,10.0,MobileApp,2026-08-20 13:13:00
PAY10398,T5022,P1040,10.0,MobileApp,2026-08-20 10:44:00
PAY10399,T5138,P1042,30.0,SmartCard,2026-08-20 08:39:00
PAY10400,T5179,P1056,15.0,SmartCard,2026-08-20 11:17:00
PAY10401,T5023,P1056,10.0,ContactlessCredit,2026-08-20 10:10:00
PAY10402,T5156,P1008,25.0,MobileApp,2026-08-20 16:26:00
PAY10403,T5004,P1091,15.0,SmartCard,2026-08-20 08:02:00
PAY10404,T5128,P1045,50.0,Cash,2026-08-20 08:47:00
PAY10405,T5096,P1017,25.0,SmartCard,2026-08-20 08:50:00
PAY10406,T5086,P1055,25.0,SmartCard,2026-08-20 06:30:00
PAY10407,T5183,P1074,10.0,ContactlessCredit,2026-08-20 10:29:00
PAY10408,T5131,P1047,10.0,ContactlessCredit,2026-08-20 13:46:00
PAY10409,T5043,P1048,15.0,Cash,2026-08-20 15:40:00
PAY10410,T5147,P1087,10.0,MobileApp,2026-08-20 07:45:00
PAY10411,T5001,P1006,10.0,MobileApp,2026-08-20 14:41:00
PAY10412,T5121,P1047,30.0,MobileApp,2026-08-20 06:47:00
PAY10413,T5010,P1071,30.0,MobileApp,2026-08-20 09:03:00
PAY10414,T5064,P1054,25.0,Cash,2026-08-20 11:29:00
PAY10415,T5147,P1048,10.0,SmartCard,2026-08-20 07:19:00
PAY10416,T5058,P1067,10.0,ContactlessCredit,2026-08-20 09:03:00
PAY10417,T5120,P1037,25.0,Cash,2026-08-20 07:10:00
PAY10418,T5142,P1059,10.0,Cash,2026-08-20 07:28:00
PAY10419,T5075,P1073,25.0,MobileApp,2026-08-20 09:25:00
PAY10420,T5095,P1076,30.0,MobileApp,2026-08-20 13:55:00
PAY10421,T5195,P1032,15.0,SmartCard,2026-08-20 15:19:00
PAY10422,T5007,P1030,50.0,Cash,2026-08-20 12:59:00
PAY10423,T5178,P1002,25.0,SmartCard,2026-08-20 16:51:00
PAY10424,T5097,P1095,25.0,SmartCard,2026-08-20 17:13:00
PAY10425,T5136,P1031,30.0,ContactlessCredit,2026-08-20 09:30:00
PAY10426,T5037,P1092,25.0,SmartCard,2026-08-20 07:01:00
PAY10427,T5060,P1067,30.0,Cash,2026-08-20 06:44:00
PAY10428,T5192,P1011,50.0,SmartCard,2026-08-20 13:49:00
PAY10429,T5035,P1082,30.0,SmartCard,2026-08-20 14:37:00
PAY10430,T5146,P1008,30.0,MobileApp,2026-08-20 16:06:00
PAY10431,T5075,P1034,25.0,ContactlessCredit,2026-08-20 10:02:00
PAY10432,T5189,P1042,25.0,ContactlessCredit,2026-08-20 17:57:00
PAY10433,T5060,P1010,15.0,MobileApp,2026-08-20 10:38:00
PAY10434,T5028,P1020,10.0,MobileApp,2026-08-20 15:58:00
PAY10435,T5120,P1041,30.0,SmartCard,2026-08-20 13:40:00
PAY10436,T5092,P1099,15.0,ContactlessCredit,2026-08-20 15:08:00
PAY10437,T5119,P1034,10.0,SmartCard,2026-08-20 11:15:00
PAY10438,T5176,P1039,50.0,SmartCard,2026-08-20 08:41:00
PAY10439,T5084,P1019,10.0,MobileApp,2026-08-20 09:40:00
PAY10440,T5102,P1066,10.0,Cash,2026-08-20 12:04:00
PAY10441,T5045,P1004,30.0,ContactlessCredit,2026-08-20 10:26:00
PAY10442,T5192,P1071,15.0,SmartCard,2026-08-20 15:29:00
PAY10443,T5027,P1018,10.0,SmartCard,2026-08-20 13:53:00
PAY10444,T5200,P1029,15.0,MobileApp,2026-08-20 07:03:00
PAY10445,T5096,P1088,10.0,Cash,2026-08-20 12:50:00
PAY10446,T5006,P1009,15.0,ContactlessCredit,2026-08-20 07:16:00
PAY10447,T5024,P1043,10.0,SmartCard,2026-08-20 08:11:00
PAY10448,T5013,P1022,50.0,ContactlessCredit,2026-08-20 13:52:00
PAY10449,T5128,P1004,30.0,ContactlessCredit,2026-08-20 12:44:00
PAY10450,T5091,P1028,15.0,Cash,2026-08-20 08:56:00
PAY10451,T5115,P1020,10.0,MobileApp,2026-08-20 10:46:00
PAY10452,T5076,P1064,30.0,ContactlessCredit,2026-08-20 17:02:00
PAY10453,T5023,P1036,30.0,MobileApp,2026-08-20 07:02:00
PAY10454,T5052,P1083,50.0,MobileApp,2026-08-20 13:09:00
PAY10455,T5140,P1003,30.0,Cash,2026-08-20 16:45:00
PAY10456,T5140,P1063,25.0,Cash,2026-08-20 14:11:00
PAY10457,T5070,P1024,10.0,Cash,2026-08-20 12:37:00
PAY10458,T5057,P1004,25.0,SmartCard,2026-08-20 16:11:00
PAY10459,T5136,P1046,50.0,MobileApp,2026-08-20 14:03:00
PAY10460,T5026,P1032,15.0,Cash,2026-08-20 08:43:00
PAY10461,T5189,P1008,15.0,ContactlessCredit,2026-08-20 15:06:00
PAY10462,T5045,P1023,15.0,Cash,2026-08-20 12:03:00
PAY10463,T5092,P1076,10.0,Cash,2026-08-20 17:54:00
PAY10464,T5145,P1019,50.0,MobileApp,2026-08-20 15:41:00
PAY10465,T5139,P1040,15.0,ContactlessCredit,2026-08-20 14:24:00
PAY10466,T5024,P1008,15.0,MobileApp,2026-08-20 06:38:00
PAY10467,T5135,P1062,10.0,Cash,2026-08-20 06:20:00
PAY10468,T5052,P1017,25.0,MobileApp,2026-08-20 16:28:00
PAY10469,T5016,P1003,15.0,MobileApp,2026-08-20 11:31:00
PAY10470,T5135,P1047,10.0,Cash,2026-08-20 07:53:00
PAY10471,T5102,P1076,10.0,Cash,2026-08-20 17:18:00
PAY10472,T5083,P1018,15.0,ContactlessCredit,2026-08-20 11:09:00
PAY10473,T5125,P1084,25.0,MobileApp,2026-08-20 16:54:00
PAY10474,T5178,P1079,25.0,MobileApp,2026-08-20 15:35:00
PAY10475,T5151,P1023,30.0,Cash,2026-08-20 17:21:00
PAY10476,T5076,P1017,15.0,SmartCard,2026-08-20 17:45:00
PAY10477,T5147,P1051,50.0,SmartCard,2026-08-20 17:58:00
PAY10478,T5155,P1041,50.0,MobileApp,2026-08-20 09:06:00
PAY10479,T5145,P1014,30.0,MobileApp,2026-08-20 16:54:00
PAY10480,T5191,P1010,15.0,Cash,2026-08-20 11:39:00
PAY10481,T5043,P1082,10.0,Cash,2026-08-20 11:27:00
PAY10482,T5003,P1034,15.0,MobileApp,2026-08-20 13:37:00
PAY10483,T5018,P1045,25.0,SmartCard,2026-08-20 17:49:00
PAY10484,T5013,P1050,30.0,ContactlessCredit,2026-08-20 06:01:00
PAY10485,T5106,P1064,30.0,Cash,2026-08-20 08:50:00
PAY10486,T5097,P1013,30.0,MobileApp,2026-08-20 15:19:00
PAY10487,T5116,P1010,10.0,Cash,2026-08-20 08:46:00
PAY10488,T5082,P1034,10.0,SmartCard,2026-08-20 06:20:00
PAY10489,T5044,P1049,15.0,SmartCard,2026-08-20 11:50:00
PAY10490,T5024,P1044,50.0,ContactlessCredit,2026-08-20 15:20:00
PAY10491,T5111,P1084,15.0,ContactlessCredit,2026-08-20 06:31:00
PAY10492,T5014,P1013,25.0,MobileApp,2026-08-20 08:40:00
PAY10493,T5105,P1090,50.0,Cash,2026-08-20 09:14:00
PAY10494,T5073,P1039,15.0,SmartCard,2026-08-20 17:16:00
PAY10495,T5101,P1074,50.0,ContactlessCredit,2026-08-20 06:50:00
PAY10496,T5014,P1047,10.0,ContactlessCredit,2026-08-20 08:37:00
PAY10497,T5076,P1085,50.0,ContactlessCredit,2026-08-20 07:29:00
PAY10498,T5025,P1004,15.0,MobileApp,2026-08-20 09:24:00
PAY10499,T5075,P1011,30.0,SmartCard,2026-08-20 16:53:00
PAY10500,T5102,P1061,30.0,Cash,2026-08-20 11:15:00
